Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1961,1961,ha,64869558,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1961,1961,hg/ha,25223,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1961,1961,tonnes,163619978,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1962,1962,ha,60548008,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1962,1962,hg/ha,26831,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1962,1962,tonnes,162455780,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1963,1963,ha,62420208,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1963,1963,hg/ha,28006,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1963,1963,tonnes,174812487,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1964,1964,ha,60977008,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1964,1964,hg/ha,26393,I,Imputed value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1964,1964,tonnes,160937079,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1965,1965,ha,60379266,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1965,1965,hg/ha,30408,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1965,1965,tonnes,183602617,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1966,1966,ha,61141626,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1966,1966,hg/ha,30167,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1966,1966,tonnes,184444880,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1967,1967,ha,65847777,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1967,1967,hg/ha,31612,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1967,1967,tonnes,208158055,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1968,1968,ha,63042026,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1968,1968,hg/ha,32128,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1968,1968,tonnes,202538423,E,Estimated value
